pdf contribution,dr,Ephi,tres,eX,eY,eZ,eT,eZenith,eAzimuth
6.07814, 42.9131, 1.38553, 59.6086, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.10829, 42.9131, 1.38553, 61.5304, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.21232, 42.9131, 1.38553, 68.6002, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.25876, 42.9131, 1.38553, 71.3895, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.3194, 42.9131, 1.38553, 74.5699, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.51263, 42.9131, 1.38553, 82.6604, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.72835, 42.9131, 1.38553, 90.6145, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
8.02302, 42.9131, 1.38553, 173.16, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
8.15437, 42.9131, 1.38553, 185.521, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
8.33088, 42.9131, 1.38553, 199.307, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
8.72368, 42.9131, 1.38553, 225.682, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
9.8728, 42.9131, 1.38553, 318.089, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.10479, 80.2523, 1.14033, 21.7943, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.51508, 80.2523, 1.14033, 24.4251, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.11725, 80.2523, 1.14033, 28.9183, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.15233, 80.2523, 1.14033, 29.2108, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.60779, 126.646, 1.08554, 73.8356, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.30638, 88.67, 2.844, 90.9602, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.51197, 86.3786, 2.32571, 32.288, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.28703, 86.3786, 2.32571, 54.0137, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.34384, 86.3786, 2.32571, 149.888, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.9464, 130.651, 0.377055, 11.1831, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.16495, 147.203, 0.0445065, 45.6503, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.00231, 96.3932, 1.53747, 19.0544, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.09053, 96.3932, 1.53747, 40.4876, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.53184, 62.3742, 1.09093, 9.08906, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.32593, 62.3742, 1.09093, 9.30892, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.96112, 62.3742, 1.09093, 9.74677, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.35306, 62.3742, 1.09093, 10.6986, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.27764, 62.3742, 1.09093, 10.8419, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.07508, 62.3742, 1.09093, 11.2884, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.01503, 62.3742, 1.09093, 11.4475, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.95101, 62.3742, 1.09093, 11.635, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.88657, 62.3742, 1.09093, 11.8421, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.85338, 62.3742, 1.09093, 11.9561, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.83963, 62.3742, 1.09093, 12.005, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.80069, 62.3742, 1.09093, 12.1496, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.6425, 62.3742, 1.09093, 12.9941, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.63423, 62.3742, 1.09093, 13.068, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.63314, 62.3742, 1.09093, 13.0782, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.60613, 62.3742, 1.09093, 13.3727, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.60292, 62.3742, 1.09093, 13.4144, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.59638, 62.3742, 1.09093, 13.5059, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.57308, 62.3742, 1.09093, 14.3238, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.6088, 62.3742, 1.09093, 15.1811, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.62959, 62.3742, 1.09093, 15.4579, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.64024, 62.3742, 1.09093, 15.5808, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.6709, 62.3742, 1.09093, 15.89, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.68033, 62.3742, 1.09093, 15.9755, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.76644, 62.3742, 1.09093, 16.6419, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.81661, 62.3742, 1.09093, 16.9774, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.82963, 62.3742, 1.09093, 17.0608, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.93066, 62.3742, 1.09093, 17.6696, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.02158, 62.3742, 1.09093, 18.1721, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.25888, 62.3742, 1.09093, 19.4041, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.43643, 62.3742, 1.09093, 20.2744, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.44538, 62.3742, 1.09093, 20.317, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.2948, 62.3742, 1.09093, 25.1024, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.34459, 62.3742, 1.09093, 25.4494, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.57432, 62.3742, 1.09093, 27.1943, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.22062, 62.3742, 1.09093, 34.1675, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.87246, 62.3742, 1.09093, 48.5798, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.90454, 62.3742, 1.09093, 49.5408, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.04648, 62.3742, 1.09093, 53.935, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.92909, 62.3742, 1.09093, 89.0782, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.97936, 62.3742, 1.09093, 91.6856, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
7.88073, 62.3742, 1.09093, 147.619, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
9.76736, 59.0715, 0.401272, -8.38506, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
7.36901, 59.0715, 0.401272, -5.01413, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.3201, 59.0715, 0.401272, -2.94722, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.13631, 59.0715, 0.401272, -2.71494, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.08044, 59.0715, 0.401272, -2.64254, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
